id,mol_name,formula,kegg_id,pubchem_sid
8573,2-Chlorophenylhydrazine hydrochloride,C6H8Cl2N2,C11582,13747
8574,4-Glutathionyl cyclophosphamide,C17H30Cl2N5O8PS,C11583,13748
8575,4-Methylumbelliferone glucuronide,C16H16O9,C11584,13749
8576,4-Methylumbelliferone sulfate,C10H8O6S,C11585,13750
8577,dTDP-beta-D-olivose,C16H26N2O14P2,C12445,582835
8578,Beauvericin,C45H57N3O9,C11590,13755
8579,DIDS,C16H10N2O6S4,C11591,13756
8580,Undecylenic acid,C11H20O2,C13910,854155
8581,Diphosphoryl heptaacyl lipid A,C110H208N2O26P2,C13909,854154
8582,1-Palmitoyl-2-(5-keto-6-octendioyl)-sn-glycero-3-phosphatidylcholine,C32H58NO11P,C13900,854145
8583,Prednisolone succinate,C25H32O8,C13899,854144
8584,1-Palmitoyl-2-(5-keto-8-oxo-6-octenoyl)-sn-glycero-3-phosphatidylcholine,C32H58NO10P,C13902,854147
8585,1-Palmitoyl-2-(5-hydroxy-8-oxo-6-octenoyl)-sn-glycero-3-phosphatidylcholine,C32H60NO10P,C13901,854146
8586,Balofloxacin,C20H24FN3O4,C13906,854151
8587,1-O-Hexadecyl-lyso-sn-glycero-3-phosphocholine,C24H52NO6P,C13903,854148
8588,Diphosphoryl hexaacyl lipid A,C94H178N2O25P2,C13908,854153
8589,OM-174,C52H100N2O20P2,C13907,854152
8590,Gemcitabine,C9H11F2N3O4,C07650,9852
8591,5-FU,C4H3FN2O2,C07649,9851
8592,Thioguanine,C5H5N5S,C07648,9850
8593,SB 200646,C15H14N4O,C11739,13904
8594,SB 206553,C17H16N4O,C11740,13905
8595,Abietinol,C20H32O,C11882,14044
8596,Levopimarinol,C20H32O,C11883,14045
8597,m-Chlorobenzamide,C7H6ClNO,C11731,13896
8598,(+)-Sandaracopimaradiene,C20H32,C11877,14039
8599,Decamethonium,C16H38N2+2,C11733,13898
8600,Procyclidine,C19H29NO,C07378,9582
8601,N-Ethylglycine,C4H9NO2,C11735,13900
8602,Palustradiene,C20H32,C11881,14043
8603,CB3717,C24H23N5O6,C11737,13902
8604,m-Chlorophenylpiperazine,C10H13ClN2,C11738,13903
8605,4-Ketocyclophosphamide,C7H13Cl2N2O3P,C07644,9846
8606,Mepyramine,C17H23N3O,C11798,13962
8607,3-Methoxytropolone,C8H8O3,C02639,5619
8608,Mitobronitol,C6H12Br2O4,C13522,853891
8609,Hexestrol diacetate,C22H26O4,C13520,853890
8610,Angiotensin II (human type),C50H71N13O12,C13516,853888
8611,Ferric gluconate,C18H33FeO21,C13511,853885
8612,Tadalafil,C22H19N3O4,C13509,586229
8613,Cefsulodin sodium,C22H19N4NaO8S2,C13505,586227
8614,Sulfamonomethoxine sodium,C11H11N4NaO3S,C13501,853879
8615,Prednisolone farnesylate,C36H50O6,C13498,586224
8616,Budralazine,C14H16N4,C13497,853877
8617,Polidocanol,C30H62O10,C13493,853875
8618,Cytidine,C9H13N3O5,C00475,3758
8619,Ribitol,C5H12O5,C00474,3757
8620,Coniferyl alcohol,C10H12O3,C00590,3869
8621,Retinol,C20H30O,C00473,3756
8622,Quinone,C6H4O2,C00472,3755
8623,Mifepristone,C29H35NO2,C07652,9854
8624,Propanal,C3H6O,C00479,3762
8625,WR 1065,C5H14N2S,C07651,9853
8626,Lichenin,C6H10O5,C00478,3761
8627,3-Hydroxyanthranilate,C7H7NO3,C00632,3905
8628,Deoxyanisatin,C15H20O7,C12076,14227
8629,2-Phospho-D-glycerate,C3H7O7P,C00631,3904
8630,"6,7-Dimethyl-8-(1-D-ribityl)lumazine",C13H18N4O6,C04332,6983
8631,Palustric acid,C20H30O2,C12077,14228
8632,Decachlorobiphenyl,C12Cl10,C14368,159577
8633,"2,2',3,3',6,6'-Hexachlorobiphenyl",C12H4Cl6,C14369,179283
8634,"2,3,4,5,6-Pentachlorobiphenyl",C12H5Cl5,C14366,171382
8635,"2,2',3,3',5,5'-Hexachlorobiphenyl",C12H4Cl6,C14367,178639
8636,"2,4,4',6-Tetrachlorobiphenyl",C12H6Cl4,C14364,205296
8637,"2,3,3',4,5-Pentachlorobiphenyl",C12H5Cl5,C14365,189343
8638,"2,3,4,5-Tetrachlorobiphenyl",C12H6Cl4,C14362,177911
8639,"2,3,5,6-Tetrachlorobiphenyl",C12H6Cl4,C14363,177912
8640,"2,2',4,5-Tetrachlorobiphenyl",C12H6Cl4,C14360,189323
8641,"2,3,4,4'-Tetrachlorobiphenyl",C12H6Cl4,C14361,177820
8642,3-Ethoxybenzoate,C9H10O3,C02363,5408
8643,2-Oxosuccinamate,C4H5NO4,C02362,5407
8644,2-Hydroxyadipate,C6H10O5,C02360,5406
8645,2-Fluorobenzoate,C7H5FO2,C02359,5405
8646,2-Chlorobenzoate,C7H5ClO2,C02357,5404
8647,(S)-2-Aminobutanoate,C4H9NO2,C02356,5403
8648,"2',3'-Cyclic UMP",C9H11N2O8P,C02355,5402
8649,"2',3'-Cyclic CMP",C9H12N3O7P,C02354,5401
8650,"2',3'-Cyclic AMP",C10H12N5O6P,C02353,5400
8651,"1,2-Benzoquinone",C6H4O2,C02351,5398
8652,Osalmid,C13H11NO3,C13036,583425
8653,Pranoprofen,C15H13NO3,C13035,583424
8654,Kebuzone,C19H18N2O3,C13023,583412
8655,Indomethacin farnesil,C34H40ClNO4,C13021,583410
8656,Aranidipine,C19H20N2O7,C13018,583407
8657,Carumonam sodium,C12H12N6Na2O10S2,C13016,583405
8658,Bronopol,C3H6BrNO4,C13034,583423
8659,Estramustine phosphate sodium,C23H30Cl2NNa2O6P,C13031,583420
8660,Etilefrine hydrochloride,C10H16ClNO2,C13029,583418
8661,Cefpimizole sodium,C28H25N6NaO10S2,C13024,583413
8662,Dammarenediol-I,C30H52O2,C08621,10814
8663,"4-Carboxy-2-hydroxy-cis,cis-muconate",C7H6O7,C04324,6979
8664,"2,5-Dichlorohydroquinone",C6H4Cl2O2,C06600,8826
8665,Hygrine,C8H15NO,C06179,8430
8666,"3,5-Dichloro-4-hydroxyphenylpyruvate",C9H6Cl2O4,C04323,6978
8667,PQQ,C14H6N2O8,C00113,3413
8668,Choline,C5H14NO+,C00114,3414
8669,Imazalil nitrate,C14H14Cl2N3O4-,C11219,13399
8670,D-Glucose 1-phosphate,C6H13O9P,C00103,3403
8671,IDP,C10H14N4O11P2,C00104,3404
8675,2-Oxobutanoate,C4H6O3,C00109,3409
8676,Glycerone phosphate,C3H7O6P,C00111,3411
8677,CDP,C9H15N3O11P2,C00112,3412
8678,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA",C48H78N7O20P3S,C05460,7820
8679,Muscapurpurin,C18H14N2O10,C08563,10756
8680,Esculetin,C9H6O4,C09263,11454
8681,Esculin,C15H16O9,C09264,11455
8682,Decuroside III,C26H34O14,C09257,11448
8683,Decursin,C19H20O5,C09258,11449
8684,Vomicine,C22H24N2O4,C09255,11446
8685,Yohimbine,C21H26N2O3,C09256,11447
8686,Disenecionyl cis-khellactone,C24H26O7,C09261,11452
8687,"(3'R,4'R)-3'-Epoxyangeloyloxy-4'-acetoxy-3',4'-dihydroseselin",C21H22O8,C09262,11453
8688,Decursinol,C14H14O4,C09259,11450
8689,Dihydrosamidin,C21H24O7,C09260,11451
8690,Cefaclor,C15H14ClN3O4S,C06877,9094
8691,Gramicidin S,C60H92N12O10,C11218,13398
8692,"7alpha,12alpha-Dihydroxy-5alpha-cholestan-3-one",C27H46O3,C05458,7819
8693,N2-Acetyl-L-glutamine,C7H12N2O4,"",680315
8694,5-Aminoimidazole,C3H5N3,C05239,7633
8695,(R)-N-Methylcoclaurine,C18H21NO3,C05243,7636
8696,10-Hydroxydihydrosanguinarine,C20H15NO5,C05247,7637
8697,"2-Amino-4-oxo-4-alpha-hydroxy-6-(erythro-1',2',3'-Tri-hydroxypropyl)-5,6,7,8-tetrahydroxypterin",C9H15N5O8,C05252,7640
8698,"2-Amino-4-oxo-6-(1',2',3'-trihydroxypropyl)-diquinoid-7,8-dihydroxypterin",C9H15N5O6,C05253,7641
8699,"2-Amino-4-oxo-6-(erythro-1',2',3'-trihydroxypropyl)-7,8-dihydroxypteridine triphosphate",C9H16N5O15P3,C05254,7642
8700,"2-Amino-4-oxo-6-(1',2'-dioxoprolyl)-7,8-dihydroxypteridine",C9H9N5O5,C05255,7643
8701,L-2-Amino-hexano-6-lactam,C6H12N2O,C05256,7644
8702,4-Methyl-5-(2-phosphoethyl)-thiazole,C6H10NO4PS,C04327,6980
8703,3-Oxopalmitoyl-CoA,C37H64N7O18P3S,C05259,7646
8704,"cis,trans-4-Hydroxymuconic semialdehyde",C6H6O4,C06603,8829
8705,(1-Hydroxycyclohexan-1-yl)acetyl-CoA,C29H48N7O18P3S,C04316,6974
8706,Formylmethionyl-leucyl-phenylalanine methyl ester,C22H33N3O5S,C11221,13400
8707,Parathion,C10H14NO5PS,C06604,8830
8708,"cis-1,2-Dihydronaphthalene-1,2-diol",C10H10O2,C04314,6972
8709,Dimethylacryloyl-CoA,C26H42N7O17P3S,C02973,5885
8710,3-Hydroxysebacic acid,C10H18O5,"",""
8711,Glycodeoxycholate,C26H43NO5,C05464,7824
8712,Hexadecanedioic acid mono-L-carnitine ester,C23H43NO6,"",""
8713,"3,4-Dihydro-2H-Pyrrole-2-carboxylate",C5H7NO2,C04322,6977
8714,Fructose 1-phosphate,C6H13O9P,C02976,5887
8715,Coelogin,C17H16O5,C10251,12437
8716,Chlorophorin,C24H28O4,C10250,12436
8717,Taurodeoxycholate,C26H45NO6S,C05463,7823
8718,Batatasin IV,C15H16O3,C10247,12433
8719,Batatasin I,C17H16O4,C10246,12432
8720,Canaliculatol,C42H32O9,C10249,12435
8721,Blestriarene B,C30H24O6,C10248,12434
8722,"1,2,3,4-Tetragalloyl-alpha-D-glucose",C34H28O22,C10243,12429
8723,Terminalin,C28H10O16,C10242,12428
8724,Astringin,C20H22O9,C10245,12431
8725,Agrostophyllin,C17H14O4,C10244,12430
8726,11-O-Demethyl-17-O-deacetylvindoline,C22H28N2O5,C04318,6976
8727,1-O-Sinapoyl-beta-D-glucose,C17H22O10,C01175,4402
8728,Zymosterol,C27H44O,C05437,7800
8729,gamma-Carotene,C40H56,C05435,7799
8730,"Ergosta-5,7,22,24(28)-tetraen-3beta-ol",C28H42O,C05440,7802
8731,Senecivernine,C18H25NO5,C10393,12579
8732,Lycopene,C40H56,C05432,7796
8733,Rapanone,C19H30O4,C10399,12585
8734,beta-Zeacarotene,C40H58,C05434,7798
8735,alpha-Carotene,C40H56,C05433,7797
8736,Supinidine,C8H13NO,C10400,12586
8737,Rhein,C15H8O6,C10401,12587
8738,Phytosterol,C29H48O,C05442,7804
8739,Vitamin D2,C28H44O,C05441,7803
8740,Hypericin,C30H16O8,C07606,9808
8741,AminoDAHP,C7H14NO10P,C12106,14253
8742,AminoDHQ,C7H11NO5,C12109,14256
8743,AminoDHS,C7H9NO4,C12108,14255
8744,Ginkgolide B,C20H24O10,C07602,9804
8745,Ginkgolide C,C20H24O11,C07603,9805
8746,Allicin,C6H10OS2,C07600,9802
8747,Ginkgolide A,C20H24O9,C07601,9803
8748,Decanal,C10H20O,C12307,582698
8749,Flavonol 3-O-beta-D-glucoside,C21H22O11,C03946,6669
8750,Manumycin A,C31H38N2O7,C12111,14258
8751,Gabaculine,C7H9NO2,C12110,14257
8752,Hyperforin,C35H52O4,C07608,9810
8753,Parthenolide,C15H20O3,C07609,9811
8754,"2,6-Diamino-4-hydroxy-5-(N-methyl)formamidopyrimidine",C6H9N5O2,C04744,7315
8755,3beta-Hydroxy-5alpha-cholest-7-ene-4alpha-carboxylate,C28H46O3,C04746,7316
8756,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,C9H14N3O9P,C04751,7321
8757,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,C6H11N3O7P2,C04752,7322
8758,UDP-N-acetyl-6-(D-galactose-1-phospho)-D-glucosamine,C23H38N3O25P3,C04739,7310
8759,Alprostadil,C20H34O5,C04741,7312
8760,"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate",C20H32O3,C04742,7313
8761,"(5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprosta-13-enoate",C20H32O5,C04743,7314
8762,Glycoprotein N-acetyl-D-glucosaminyl-phospho-D-mannose,C42H71N6O31P,C04755,7324
8763,"(5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate",C20H30O5,C04758,7326
8764,N-Methylflindersine,C15H15NO2,C10731,12914
8765,Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C86H143N7O21P2,C05888,8176
8766,beta-D-Glucopyranuronic acid,C6H10O7,C08350,10547
8767,Dihydromethylsterigmatocystin,C18H14O7,C03944,6668
8768,Reduced Vitamin K,C31H50O3,C05850,8143
8769,Vitamin K epoxide,C31H46O3,C05849,8142
8770,2-Hydroxyphenylacetate,C8H8O3,C05852,8145
8771,Coumarine,C9H6O2,C05851,8144
8772,4-Carboxy-2-oxo-4-pentanoate,C6H6O5,C05854,8147
8773,Maleimide,C4H3NO2,C07272,9481
8774,Thiamine aldehyde,C12H15N4OS+,C05856,8149
8775,4-Hydroxycinnamyl alcohol 4-D-glucoside,C15H20O7,C05855,8148
8776,Epothilone B,C27H41NO6S,C12154,14301
8777,"3,4,6-Trichlorocatechol",C6H3Cl3O2,C12831,583220
8778,Tetraneurin A,C17H22O6,C09559,11750
8779,Nicardipine,C26H29N3O6,C07264,9473
8780,Nevirapine,C15H14N4O,C07263,9472
8781,Poststerone,C21H30O5,C08837,11030
8782,Tolciclate,C20H21NOS,C12822,583211
8783,Simethicone,C8H24O2Si3,C07261,9470
8784,Sildenafil,C22H30N6O4S,C07259,9468
8785,Nizatidine,C12H21N5O2S2,C07270,9479
8786,Xylopinine,C21H25NO4,C09671,11861
8787,Niddamycin,C39H63NO14,C12152,14299
8788,Nimodipine,C21H26N2O7,C07267,9476
8789,Stigmatellin Y,C29H40O6,C12150,14297
8790,Siccanin,C22H30O3,C12686,583076
8791,Iotalamic acid,C11H9I3N2O4,C12687,583077
8792,Benfotiamine,C19H23N4O6PS,C12684,583074
8793,Cyclothiazide,C14H16ClN3O4S2,C12685,583075
8794,Clobazam,C16H13ClN2O2,C12682,583072
8795,Tofisopam,C22H26N2O4,C12683,583073
8796,Ampicillin trihydrate,C16H25N3O7S,C12680,583070
8797,Alclofenac,C11H11ClO3,C12681,583071
8798,Flopropione,C9H10O4,C12688,583078
8799,Fluorescein,C20H12O5,C12690,583080
8800,3beta-Hydroxyandrost-5-en-17-one,C19H28O2,C01227,4449
8801,Naphazoline hydrochloride,C14H15ClN2,C07898,10100
8802,Pemoline,C9H8N2O2,C07899,10101
8803,"L-(-)-1-Butyl-2',6'-pipecoloxylidide",C18H28N2O,C07887,10089
8804,Cyclophosphamide anhydrous,C7H15Cl2N2O2P,C07888,10090
8805,Dextroamphetamine,C9H13N,C07884,10086
8806,Brimonidine,C11H10BrN5,C07886,10088
8807,Pramoxine,C17H27NO3,C07892,10094
8808,Propoxycaine,C16H26N2O3,C07895,10097
8809,Mephentermine,C11H17N,C07889,10091
8810,Midodrine,C12H18N2O4,C07890,10092
8811,alpha-D-Quinovopyranose,C6H12O5,C08352,10549
8812,UDP-N-acetylmuramate,C20H31N3O19P2,C01050,4292
8813,N5-Ethyl-L-glutamine,C7H14N2O3,C01047,4289
8814,(R)-4-Dehydropantoate,C6H10O4,C01053,4294
8815,Uroporphyrinogen III,C40H44N4O16,C01051,4293
8816,N-Formyl-L-aspartate,C5H7NO5,C01044,4286
8817,N-Carbamoylsarcosine,C4H8N2O3,C01043,4285
8818,N-Methyl-L-glutamate,C6H11NO4,C01046,4288
8819,N-Formyl-L-glutamate,C6H9NO5,C01045,4287
8820,6-Phospho-D-gluconate,C6H13O10P,C00345,3638
8821,Geranyl diphosphate,C10H20O7P2,C00341,3634
8822,(S)-6-Hydroxynicotine,C10H14N2O,C01056,4296
8823,"(S)-2,3-Epoxysqualene",C30H50O,C01054,4295
8824,Aminopterin,C19H20N8O5,"",148719
8825,Ethenodeoxyadenosine,C12H13N5O3,"",682606
8826,2-Hydroxycaproic acid,C6H12O3,"",677184
8827,5b-Cholestanol,C27H48O,"",668217
8828,trans-2-Octenoic acid,C8H14O2,"",657307
8829,m-Chlorobenzoic acid,C7H5ClO2,"",36994
8830,Threohydrobupropion,C13H20ClNO,"",585032
8831,Hexanoylcarnitine,C13H25NO4,"",""
8832,Sultamicillin tosilate,C32H38N4O12S3,C13129,585193
8833,Pseudopurpurin,C15H8O7,C10394,12580
8834,Purpurin,C14H8O5,C10395,12581
8835,Colchicine,C22H25NO6,C07592,9794
8836,Pseudohypericin,C30H16O9,C10392,12578
8837,Sarmentosin,C11H17NO7,C08340,10538
8838,Proteacin,C20H27NO12,C08339,10537
8839,Cascarillin,C22H32O7,C09071,11263
8840,Ornithine,C5H12N2O2,C01602,4756
8841,Baliospermin,C32H50O8,C09065,11257
8842,Volkenin,C12H17NO7,C08344,10541
8843,Triglochinin,C14H17NO10,C08342,10540
8844,Tolylacetonitrile,C9H9N,C02596,5587
8845,Ramentaceone,C11H8O3,C10398,12584
8846,2-Deoxy-alpha-D-ribopyranose,C5H10O4,C08347,10544
8847,beta-D-Apiose,C5H10O5,C08346,10543
8848,(S)-Mandelonitrile,C8H7NO,C02615,5600
8849,"1,4-Naphthoquinone",C10H6O2,C02617,5602
8850,Phytanate,C20H40O2,C01607,4760
8851,Neurosporene,C40H58,C05431,7795
8852,Salonitenolide,C15H20O4,C09542,11733
8853,4-Chloroacetanilide,C8H8ClNO,C14494,154175
8854,Ridentin,C15H20O4,C09540,11731
8855,Isoboldine,C19H21NO4,C09541,11732
8856,Quing Hau Sau,C15H22O5,C09538,11729
8857,Senkirkine,C19H27NO6,C10396,12582
8858,Pyrethrosin,C17H22O5,C09536,11727
8859,Quadrone,C15H20O3,C09537,11728
8860,Purpurin 1-methyl ether,C15H10O5,C10397,12583
8861,Santamarin,C15H20O3,C09544,11735
8862,beta-Santonin,C15H18O3,C09545,11736
8863,Bromochloromethane,CH2BrCl,C02661,5634
8864,Coniferyl aldehyde,C10H10O3,C02666,5637
8865,Rofecoxib,C17H14O4S,C07590,9792
8866,Chlorobiphenyl-desleucyl-vancomycin,C72H71Cl3N8O23,C12036,14191
8867,6-Acetyl-D-glucose,C8H14O7,C02655,5628
8868,6-Carboxyhexanoate,C7H12O4,C02656,5629
8869,4-Hydroxy-2-butynal,C4H4O2,C02648,5625
8870,5-Dehydroshikimate,C7H8O5,C02652,5626
8871,Acetone cyanohydrin,C4H7NO,C02659,5632
8872,Benzyl thiocyanate,C8H7NS,C02660,5633
8873,6-Methylsalicylate,C8H8O3,C02657,5630
8874,Acetaldehyde oxime,C2H5NO,C02658,5631
8875,Ryanodine,C25H35NO9,C08705,10898
8876,Ufenamate,C18H18F3NO2,C13293,586037
8877,AHBA,C7H7NO3,C12107,14254
8878,Gonadorelin,C55H75N17O13,C07607,9809
8879,S-(4-Azidophenacyl)glutathione,C18H22N6O7S,C11315,13490
8880,Ginkgolide J,C20H24O10,C07604,9806
8881,Brompheniramine,C16H19BrN2,C06857,9075
8882,Budesonide,C25H34O6,C06858,9076
8883,Bretylium,C11H17BrN+,C06855,9073
8884,Bilobalide,C15H18O8,C07605,9807
8885,Buspirone,C21H31N5O2,C06861,9079
8886,Busulfan,C6H14O6S2,C06862,9080
8887,Bumetanide,C17H20N2O5S,C06859,9077
8888,Bupropion,C13H18ClNO,C06860,9078
8889,omega-Cycloheptylundecanoic acid,C18H34O2,C12103,14250
8890,Butorphanol,C21H29NO2,C06863,9081
8891,Calcitonin,C145H240N44O48S2,C06865,9082
8892,FK520,C43H69NO12,C12102,14249
8893,Capillarisin,C16H12O7,C08999,11191
8894,Thiotropocin,C8H4O3S2,C12105,14252
8895,Cannabichromene,C21H30O2,C08998,11190
8896,Cycloheptanecarboxylic acid,C8H14O2,C12104,14251
8897,D-Valine,C5H11NO2,C06417,8652
8898,"5,7-Dihydroxychromone",C9H6O4,C09001,11193
8899,alpha-D-Glucose 3-phosphate,C6H13O9P,C03811,6558
8900,Stearoylglycerone phosphate,C21H41O7P,C03805,6554
8901,Cimifugin,C16H18O6,C09000,11192
8902,Pantothenol,C9H19NO4,C05944,8228
8903,"N,6-O-Disulfo-D-glucosamine",C6H13NO11S2,C03789,6538
8904,Aurasperone D,C31H24O10,C08995,11187
8905,"N6,N6,N6-Trimethyl-L-lysine",C9H20N2O2,C03793,6542
8906,N-(Carboxymethyl)-D-alanine,C5H9NO4,C03790,6539
8907,N6-Methyl-2'-deoxyadenosine,C11H15N5O3,C03795,6544
8908,Balfourodine,C16H19NO4,C10647,12830
8909,S-Methyl-1-thio-D-glycerate,C4H8O3S,C03804,6553
8910,Aloesin,C19H22O9,C08994,11186
8911,N-Monomethyl-2-aminoethylphosphonate,C3H10NO3P,C05679,7986
8912,2-Oxo-4-hydroxy-5-aminovalerate,C5H9NO4,C05941,8226
8913,Butyrylmallotochromene,C26H30O8,C08997,11189
8914,beta-Nitropropanoate,C3H5NO4,C05669,7977
8915,Bucharaine,C19H25NO4,C10649,12832
8916,Precorrin 5,C45H54N4O17,C06416,8651
8917,Biflorin,C16H18O9,C08996,11188
8918,CMP-N-trimethyl-2-aminoethylphosphonate,C14H27N4O10P2+,C05674,7981
8919,1-Hydroxy-2-aminoethylphosphonate,C2H8NO4P,C05678,7985
8920,2-Amino-3-phosphonopropanoate,C3H8NO5P,C05672,7979
8921,CMP-2-aminoethylphosphonate,C11H20N4O10P2,C05673,7980
8922,2(1H)-Quinolinone,C9H7NO,C06415,8650
8923,Bucharidine,C19H25NO4,C10652,12835
8924,D-Histidine,C6H9N3O2,C06419,8654
8925,Encelin,C15H16O3,C09404,11595
8926,Enhydrin,C23H28O10,C09405,11596
8927,"D-Glucurono-6,2-lactone",C6H8O6,C03387,6220
8928,D-Galactose 1-phosphate,C6H13O9P,C03384,6219
8929,Bilirubin-glucuronoside,C39H44N4O12,C03374,6209
8930,Aminoimidazole ribotide,C8H14N3O7P,C03373,6208
8931,"D-Galactono-1,4-lactone",C6H10O6,C03383,6218
8932,Bis(3-aminopropyl)amine,C6H17N3,C03375,6210
8933,Elephantin,C20H22O7,C09402,11593
8934,5-O-Methyl-myo-inositol,C7H14O6,C03365,6202
8935,7''-O-Phosphohygromycin,C20H38N3O16P,C03368,6205
8936,6-alpha-Maltosylglucose,C18H32O16,C03367,6204
8937,Rhododendrin,C16H24O7,C09965,12151
8938,Atalanine,C34H30N2O9,C10644,12827
8939,Arborinine,C16H15NO4,C10643,12826
8940,D-Isoleucine,C6H13NO2,C06418,8653
8941,Robustadial A,C23H30O5,C09966,12152
8942,Lactaldehyde,C3H6O2,C05999,8273
8943,(S)-3-Hydroxyisobutyryl-CoA,C25H44N7O18P3S,C06000,8274
8944,3-Hydroxyisopentyl-CoA,C26H48N7O17P3S,C05997,8271
8945,3-Hydroxyisovaleryl-CoA,C26H46N7O18P3S,C05998,8272
8946,2-Propylmalate,C7H12O5,C05994,8268
8947,Taxifolin 3-O-acetate,C17H14O8,C09967,12153
8948,Isoscoparine,C22H22O11,C05990,8266
8949,Acetyl adenylate,C12H16N5O8P,C05993,8267
8950,Robustaol A,C25H30O9,C09968,12154
8951,Gentianamine,C11H11NO3,C09961,12147
8952,"3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid",C5H10O3,"",""
8953,Gentioflavine,C10H11NO3,C09962,12148
8954,Chaulmoogric acid,C18H32O2,C08282,10480
8955,Docosanoic acid,C22H44O2,C08281,10479
8956,gamma-Hydroxy-L-arginine,C6H14N4O3,C08284,10482
8957,Homostachydrine,C8H15NO2,C08283,10481
8958,Suberic acid,C8H14O4,C08278,10476
8959,alpha-Cubebene,C15H24,C09647,11837
8960,L-gamma-Glutamyl-L-hypoglycin,C12H18N2O5,C08280,10478
8961,Tiglic acid,C5H8O2,C08279,10477
8962,beta-Cubebene,C15H24,C09648,11838
8963,(+)-gamma-Hydroxy-L-homoarginine,C7H16N4O3,C08286,10484
8964,"10,16-Dihydroxyhexadecanoic acid",C16H32O4,C08285,10483
8965,Resiniferatoxin,C37H40O9,C09179,11371
8966,Resiniferonol,C20H28O6,C09178,11370
8967,Chartreusin,C32H32O14,C09181,11373
8968,Precorrin 8X,C45H60N4O14,C06408,8643
8969,Rhodojaponin IV,C24H38O8,C09180,11372
8970,N-Acetyl-D-muramoate,C11H19NO8,C05887,8175
8971,Portulal,C20H32O4,C09175,11367
8972,Ponalactone A,C19H22O6,C09174,11366
8973,Premarrubiin,C20H28O4,C09177,11369
8974,Alloxanthine,C5H4N4O2,C07599,9801
8975,Eseridine,C15H21N3O3,C09176,11368
8976,Tribenoside,C29H34O6,C12492,582882
8977,Pyrrolnitrin,C10H6Cl2N2O2,C12491,582881
8978,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-sn-glycerol3'-phosphate,C40H78O13P2,C13885,854130
8979,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-sn-glycerol,C40H77O10P,C13883,854128
8980,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoserine,C40H76NO10P,C13880,854125
8981,Tulobuterol,C12H18ClNO,C13879,854124
8982,Cetylpyridinium chloride,C21H40ClNO,C11307,13482
8983,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine,C39H76NO8P,C13877,854122
8984,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphonocholine,C42H83NO7P+,C13876,854121
8985,Pamicogrel,C25H24N2O4S,C12487,582877
8986,4-Quinolinecarboxylic acid,C10H7NO2,C06414,8649
8987,Caldarchaeol,C86H172O6,C13872,854117
8988,Pemirolast potassium,C10H7KN6O,C12485,582875
8989,Phenylethyl alcohol,C8H10O,C05853,8146
8990,"(9Z,12Z)-(7S,8S)-Dihydroxyoctadeca-9,12-dienoic acid",C18H32O4,C07354,9559
8991,"3-Methyl-1-(2,4,6-trihydroxyphenyl)butan-1-one",C11H14O4,C07350,9557
8992,Oxaprozin,C18H15NO3,C07356,9561
8993,"(9Z)-(7S,8S)-Dihydroxyoctadecenoic acid",C18H34O4,C07355,9560
8994,Oxazepam,C15H11ClN2O2,C07359,9563
8995,"(9Z,12Z,15Z)-(7S,8S)-Dihydroxyoctadeca-9,12,15-trienoic acid",C18H30O4,C07357,9562
8996,Piperacillin sodium,C23H26N5NaO7S,C07361,9565
8997,Oxybutynin,C22H31NO3,C07360,9564
8998,D1927,C21H36N4O5S,C11717,13882
8999,Pipobroman,C10H16Br2N2O2,C07362,9566
9000,Lucanthone,C20H24N2OS,C11715,13880
9001,Mirasan,C13H21ClN2,C11716,13881
9002,beta-Naphthol,C10H8O,C11713,13878
9003,Spiredine,C22H27NO3,C08711,10904
9004,Trazodone,C19H22ClN5O,C07156,9365
9005,Teprotide,C53H76N14O12,C11712,13877
9006,Isoallolithocholic acid,C24H40O3,"",81304
9007,L-Xylonate,C5H10O6,C05411,7777
9008,"2,2',5,5'-Tetrachlorobiphenyl",C12H6Cl4,C14199,7847009
9009,4-tert-Butylphenol,C10H14O,C14200,7847010
9010,"2,2',4,4',5,5'-Hexachlorobiphenyl",C12H4Cl6,C14201,7847011
9011,"2,2',4,4',6,6'-Hexachlorobiphenyl",C12H4Cl6,C14202,7847012
9012,"2,2',3,3',5,5'-Hexachloro-6-biphenylol",C12H4Cl6O,C14203,7847013
9013,"Gulono-1,4-lactone",C6H10O6,C05410,7776
